Site_ID,adipose tissue,adrenal gland,blood,bone,bone marrow,brain,breast,cartilage,colon,esophagus,fallopian tube,kidney,liver,lung,muscle,nasopharynx,nose,pancreas,placenta,prostate,skin,spleen,stomach,testis,thyroid gland,tongue,urinary bladder
127,0.09,0.12,0.1,0.14,0.08,0.15,0.09,0.07,0.15,0.1,0.13,0.1,0.1,0.12,0.09,0.11,0.1,0.1,0.23,0.09,0.12,0.07,0.13,0.06,0.1,0.1,0.11
128,0.9,0.92,0.86,0.9,0.91,0.89,0.9,0.89,0.92,0.9,0.89,0.89,0.91,0.91,0.91,0.93,0.92,0.91,0.9,0.9,0.91,0.87,0.93,0.83,0.91,0.91,0.89
129,0.92,0.93,0.94,0.89,0.93,0.94,0.91,0.94,0.94,0.91,0.93,0.94,0.92,0.92,0.93,0.92,0.95,0.88,0.48,0.92,0.92,0.87,0.92,0.74,0.91,0.94,0.92
130,0.34,0.64,0.89,0.66,0.88,0.81,0.37,0.19,0.85,0.7,0.18,0.49,0.89,0.74,0.63,0.85,0.85,0.6,0.81,0.59,0.64,0.77,0.56,0.53,0.75,0.63,0.56
131,0.92,0.92,0.9,0.75,0.92,0.89,0.87,0.92,0.85,0.9,0.63,0.88,0.93,0.93,0.91,0.89,0.82,0.92,0.87,0.84,0.88,0.85,0.88,0.65,0.85,0.94,0.95
132,0.77,0.74,0.64,0.67,0.6,0.78,0.7,0.73,0.84,0.74,0.88,0.79,0.63,0.76,0.72,0.88,0.66,0.66,0.32,0.74,0.85,0.78,0.75,0.86,0.78,0.71,0.76
133,0.98,0.95,0.98,0.97,0.97,0.97,0.94,0.95,0.78,0.95,0,0.98,0.92,0.95,0.96,0.97,0.99,0.94,0.85,0.66,0.98,0.93,0.96,0.96,0.99,0.97,0.96
134,0.26,0.24,0.22,0.16,0.19,0.17,0.16,0.14,0.21,0.14,0.28,0.16,0.27,0.23,0.12,0.22,0.14,0.16,0.31,0.18,0.16,0.21,0.17,0.23,0.19,0.16,0.21
135,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01
136,0.72,0.77,0.72,0.82,0.76,0.65,0.71,0.68,0.76,0.72,0.75,0.7,0.73,0.76,0.69,0.78,0.73,0.73,0.71,0.71,0.76,0.75,0.72,0.7,0.74,0.75,0.71
137,0.81,0.93,0.92,0.84,0.94,0.84,0.85,0.86,0.9,0.88,0.89,0.91,0.94,0.91,0.77,0.82,0.91,0.87,0.91,0.87,0.87,0.79,0.9,0.82,0.9,0.89,0.86
138,0.66,0.92,0.94,0.6,0.92,0.73,0.52,0.41,0.89,0.47,0.64,0.89,0.89,0.86,0.38,0.53,0.38,0.87,0.45,0.57,0.5,0.85,0.88,0.69,0.84,0.39,0.68
139,0.02,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.01,0.02,0.02,0.01,0.02
141,0.72,0.92,0.6,0.75,0.54,0.9,0.79,0.43,0.94,0.76,0.85,0.93,0.9,0.88,0.86,0.87,0.67,0.91,0.88,0.91,0.69,0.87,0.87,0.83,0.91,0.78,0.88
142,0.96,0.97,0.96,0.96,0.95,0.96,0.93,0.95,0.94,0.87,0.91,0.96,0.95,0.96,0.96,0.96,0.95,0.93,0.62,0.92,0.93,0.95,0.95,0.78,0.95,0.85,0.94
143,0.7,0.79,0.94,0.89,0.94,0.9,0.69,0.45,0.81,0.77,0.43,0.56,0.83,0.63,0.34,0.89,0.71,0.69,0.21,0.68,0.34,0.94,0.8,0.7,0.7,0.58,0.56
144,0.96,0.95,0.95,0,0.93,0.96,0.96,0.95,0.96,0.93,0,0.96,0.97,0.94,0.95,0,0.98,0.94,0.94,0.95,0.96,0,0,0,0.96,0.96,0.97
145,0.58,0.68,0.12,0.35,0.12,0.11,0.67,0.54,0.78,0.27,0.75,0.73,0.15,0.24,0.6,0.2,0.1,0.24,0.25,0.38,0.53,0.39,0.26,0.62,0.22,0.33,0.39
146,0.72,0.79,0.62,0.67,0.6,0.53,0.82,0.75,0.76,0.58,0.74,0.83,0.52,0.71,0.84,0.52,0.57,0.55,0.61,0.85,0.64,0.54,0.58,0.65,0.55,0.66,0.76
147,0.9,0.86,0.98,0.93,0.97,0.95,0.86,0.84,0.81,0.89,0.92,0.89,0.9,0.93,0.89,0.94,0.95,0.78,0.81,0.88,0.93,0.93,0.89,0.89,0.95,0.91,0.91
148,0.04,0.05,0.04,0.02,0.02,0.04,0.06,0.04,0.05,0.04,0.02,0.05,0.05,0.06,0.04,0.02,0.03,0.04,0.05,0.07,0.03,0.03,0.05,0.02,0.03,0.06,0.07
149,0.15,0.24,0.17,0.24,0.14,0.07,0.24,0.15,0.4,0.36,0.24,0.17,0.21,0.26,0.14,0.38,0.23,0.2,0.47,0.3,0.26,0.29,0.35,0.18,0.15,0.35,0.22
150,0.94,0.93,0.92,0,0.95,0.96,0.93,0.93,0.92,0.91,0,0.95,0.9,0.91,0.91,0,0.96,0.92,0.45,0.96,0.93,0,0,0,0.95,0.93,0.94
151,0.04,0.03,0.03,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.03,0.03,0.03,0.03,0.04,0.03
152,0.96,0.96,0.94,0.96,0.95,0.95,0.96,0,0.78,0.89,0.92,0.93,0.97,0.97,0.88,0,0,0.9,0.44,0.92,0.94,0,0,0.96,0.97,0.94,0.86
153,0.05,0.07,0.04,0.04,0.03,0.08,0.13,0.04,0.05,0.05,0.06,0.06,0.08,0.05,0.05,0.04,0.04,0.04,0.04,0.05,0.03,0.05,0.06,0.04,0.04,0.05,0.05
154,0.48,0.62,0.84,0.62,0.8,0.32,0.48,0.5,0.64,0.42,0.58,0.65,0.54,0.58,0.35,0.46,0.61,0.5,0.47,0.56,0.56,0.56,0.37,0.62,0.57,0.49,0.53
155,0.03,0.03,0.03,0.03,0.03,0.05,0.02,0.02,0.04,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.05,0.03,0.02,0.03,0.05,0.03,0.03,0.02,0.02,0.02,0.02
156,0.7,0.83,0.95,0.89,0.96,0.95,0.51,0.72,0.89,0.89,0.72,0.82,0.95,0.75,0.85,0.94,0.95,0.94,0.24,0.73,0.58,0.95,0.92,0.85,0.9,0.82,0.63
157,0.84,0.94,0.92,0.78,0.92,0.89,0.86,0.46,0.87,0.87,0.91,0.85,0.86,0.63,0.83,0.95,0.93,0.77,0.76,0.77,0.87,0.9,0.88,0.77,0.46,0.83,0.63
158,0.84,0.91,0.79,0.82,0.82,0.87,0.87,0.75,0.91,0.83,0.9,0.68,0.9,0.79,0.6,0.85,0.9,0.85,0.39,0.86,0.88,0.78,0.87,0.74,0.87,0.83,0.86
159,0.64,0.68,0.79,0.55,0.8,0.76,0.67,0.34,0.75,0.76,0.76,0.66,0.84,0.68,0.53,0.64,0.75,0.76,0.75,0.65,0.73,0.67,0.52,0.71,0.71,0.74,0.67
160,0.02,0.02,0.03,0.01,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.04,0.02,0.02,0.02,0.02,0.02,0.05,0.02,0.02,0.02,0.02,0.02,0.03,0.03
161,0.03,0.06,0.04,0.05,0.03,0.03,0.03,0.03,0.04,0.04,0.03,0.04,0.05,0.04,0.03,0.03,0.04,0.04,0.02,0.05,0.03,0.03,0.03,0.04,0.04,0.07,0.03
162,0.03,0.04,0.03,0.02,0.02,0.03,0.03,0.03,0.04,0.03,0.02,0.03,0.04,0.04,0.02,0.04,0.02,0.03,0.04,0.04,0.02,0.03,0.05,0.03,0.03,0.04,0.04
163,0.96,0.96,0.96,0.96,0.94,0.97,0.95,0.95,0.96,0.96,0.96,0.96,0.97,0.97,0.95,0.96,0.96,0.96,0.97,0.95,0.95,0.94,0.97,0.87,0.97,0.96,0.96
164,0.96,0.95,0.97,0.96,0.96,0.94,0.95,0.93,0.97,0.96,0.97,0.96,0.81,0.97,0.97,0.98,0.97,0.94,0.59,0.96,0.97,0.98,0.96,0.94,0.96,0.94,0.97
165,0.51,0.51,0.52,0.44,0.44,0.34,0.39,0.3,0.27,0.21,0.29,0.32,0.31,0.5,0.28,0.24,0.31,0.38,0.6,0.39,0.39,0.38,0.25,0.26,0.8,0.31,0.44
166,0.38,0.41,0.38,0.31,0.35,0.34,0.35,0.28,0.38,0.29,0.4,0.35,0.34,0.39,0.3,0.26,0.37,0.38,0.29,0.42,0.31,0.36,0.34,0.33,0.4,0.37,0.36
167,0.56,0.83,0.88,0.8,0.88,0.43,0.53,0.57,0.46,0.29,0.56,0.6,0.48,0.61,0.76,0.58,0.41,0.46,0.58,0.32,0.39,0.85,0.44,0.7,0.73,0.45,0.55
168,0.05,0.05,0.05,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.07,0.05,0.04,0.05,0.05,0.04,0.05,0.05,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04
169,0.95,0.96,0.94,0.93,0.88,0.97,0.93,0.97,0.95,0.93,0.98,0.96,0.89,0.96,0.95,0.94,0.93,0.94,0.55,0.93,0.96,0.93,0.96,0.79,0.97,0.88,0.93
170,0.03,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.04,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.01,0.03,0.03,0.03
171,0.02,0.03,0.03,0.02,0.03,0.02,0.02,0.03,0.02,0.02,0.02,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.01,0.02,0.02,0.02
172,0.98,0.99,0.99,0.99,0.99,0.97,0.99,0.99,0.99,0.99,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.96,0.99,0.99,0.99,0.87,0.99,0.99,0.99
173,0.97,0.97,0.96,0.97,0.95,0.97,0.96,0.97,0.98,0.96,0.97,0.96,0.96,0.97,0.96,0.98,0.97,0.96,0.58,0.94,0.98,0.98,0.98,0.94,0.96,0.95,0.95
174,0.37,0.41,0.45,0.45,0.44,0.08,0.34,0.21,0.58,0.27,0.36,0.34,0.42,0.38,0.38,0.38,0.25,0.4,0.09,0.21,0.44,0.55,0.4,0.3,0.45,0.39,0.34
175,0.76,0.95,0.96,0.94,0.95,0.97,0.76,0.89,0.62,0.67,0.77,0.89,0.93,0.92,0.88,0.82,0.93,0.8,0.63,0.93,0.69,0.94,0.79,0.76,0.94,0.72,0.81
176,0.96,0.86,0.97,0.96,0.97,0.96,0.92,0.96,0.98,0.96,0.96,0.96,0.91,0.97,0.93,0.98,0.97,0.95,0.94,0.93,0.96,0.94,0.97,0.81,0.96,0.95,0.96
177,0.94,0.95,0.82,0.91,0.8,0.97,0.95,0.92,0.89,0.94,0.98,0.95,0.94,0.93,0.96,0.93,0.92,0.9,0.91,0.94,0.96,0.89,0.95,0.92,0.96,0.94,0.93
178,0.06,0.1,0.07,0.07,0.06,0.07,0.09,0.05,0.27,0.14,0.07,0.08,0.09,0.09,0.06,0.15,0.07,0.09,0.25,0.12,0.07,0.12,0.17,0.08,0.06,0.17,0.09
179,0.82,0.85,0.96,0.88,0.95,0.82,0.74,0.81,0.9,0.69,0.83,0.83,0.95,0.92,0.83,0.89,0.91,0.88,0.81,0.5,0.73,0.93,0.64,0.74,0.83,0.81,0.84
180,0.74,0.79,0.88,0.8,0.91,0.89,0.63,0.83,0.8,0.57,0.87,0.83,0.85,0.82,0.77,0.67,0.74,0.77,0.3,0.72,0.63,0.72,0.79,0.76,0.77,0.59,0.77
181,0.64,0.69,0.6,0.52,0.68,0.63,0.6,0.58,0.62,0.59,0.67,0.67,0.68,0.63,0.58,0.38,0.53,0.61,0.52,0.62,0.53,0.54,0.51,0.5,0.59,0.76,0.73
182,0.02,0.02,0.02,0.04,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.03,0.03,0.02,0.02,0.04,0.03,0.02,0.02,0.03,0.02,0.02,0.02
183,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.01,0.01,0.01,0,0.01,0.01,0.01
184,0.9,0.9,0.96,0.88,0.95,0.94,0.69,0.92,0.81,0.64,0.7,0.55,0.92,0.9,0.84,0.67,0.85,0.87,0.95,0.76,0.86,0.75,0.7,0.84,0.81,0.79,0.87
185,0.08,0.07,0.08,0.07,0.09,0.08,0.07,0.07,0.07,0.07,0.08,0.07,0.07,0.08,0.08,0,0.08,0.07,0.06,0.11,0.08,0.05,0.08,0.08,0.08,0.07,0.06
186,0.04,0.04,0.05,0.06,0.04,0.04,0.04,0.05,0.11,0.08,0.04,0.05,0.05,0.07,0.03,0.14,0.04,0.05,0.03,0.08,0.04,0.11,0.11,0.05,0.05,0.12,0.07
187,0.08,0.08,0.08,0.08,0.06,0.04,0.1,0.06,0.18,0.16,0.09,0.09,0.13,0.14,0.05,0.16,0.08,0.09,0.17,0.13,0.1,0.13,0.18,0.05,0.07,0.15,0.13
188,0.03,0.03,0.02,0.02,0.02,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.03,0.03,0.02,0.02,0.05,0.03,0.02,0.03,0.03,0.03,0.03,0.02
189,0.98,0.98,0.97,0.97,0.97,0.95,0.97,0.98,0.97,0.97,0.91,0.97,0.98,0.98,0.97,0.99,0.98,0.98,0.97,0.97,0.97,0.97,0.98,0.83,0.98,0.98,0.98
190,0.04,0.05,0.05,0.04,0.04,0.04,0.05,0.05,0.04,0.05,0.04,0.05,0.05,0.04,0.05,0.04,0.04,0.05,0.04,0.07,0.04,0.05,0.05,0.04,0.04,0.05,0.05
191,0.3,0.27,0.16,0.21,0.16,0.15,0.44,0.11,0.32,0.24,0.26,0.36,0.3,0.2,0.35,0.22,0.18,0.37,0.23,0.38,0.24,0.3,0.25,0.34,0.19,0.28,0.2
192,0.95,0.97,0.96,0.97,0.98,0.97,0.97,0.97,0.98,0.98,0.96,0.98,0.98,0.98,0.95,0,1,0.96,0.94,0.99,0.94,0,1,0.88,0.99,0.98,0.98
193,0.03,0.24,0.04,0.03,0.05,0.09,0.02,0.02,0.03,0.03,0.07,0.02,0.06,0.08,0.02,0.05,0.03,0.03,0.02,0.08,0.01,0.04,0.07,0.04,0.03,0.02,0.03
194,0.97,0.98,0.97,0.97,0.98,0.96,0.97,0.97,0.98,0.97,0.97,0.97,0.97,0.97,0.97,0.98,0.98,0.97,0.39,0.98,0.97,0.96,0.98,0.8,0.97,0.97,0.98
195,0.74,0.91,0.8,0.86,0.83,0.86,0.82,0.81,0.93,0.92,0.86,0.93,0.9,0.86,0.81,0.86,0.87,0.9,0.86,0.88,0.87,0.88,0.92,0.79,0.92,0.91,0.91
196,0.75,0.66,0.98,0.72,0.97,0.8,0.56,0.17,0.77,0.68,0.91,0.88,0.88,0.91,0.43,0.89,0.78,0.7,0.81,0.48,0.69,0.95,0.81,0.76,0.89,0.59,0.79
197,0.87,0.95,0.96,0.88,0.97,0.91,0.9,0.89,0.85,0.96,0.93,0.95,0.96,0.94,0.72,0,0.41,0.95,0.96,0.9,0.86,0,0.97,0.95,0.95,0.94,0.9
198,0.9,0.95,0.96,0.88,0.96,0.95,0.91,0.47,0.92,0.89,0.87,0.88,0.97,0.96,0.92,0.92,0.96,0.95,0.95,0.91,0.93,0.92,0.93,0.84,0.95,0.93,0.94
199,0.76,0.83,0.49,0.28,0.38,0.82,0.52,0.3,0.34,0.24,0.89,0.65,0.73,0.55,0.77,0.16,0.3,0.63,0.59,0.55,0.47,0.43,0.32,0.48,0.89,0.38,0.51
200,0.09,0.1,0.14,0.29,0.11,0.06,0.11,0.08,0.24,0.13,0.11,0.12,0.17,0.21,0.07,0.32,0.15,0.13,0.05,0.1,0.1,0.28,0.25,0.15,0.13,0.14,0.16
201,0.55,0.78,0.89,0.59,0.82,0.51,0.43,0.44,0.81,0.61,0.61,0.48,0.73,0.66,0.35,0.88,0.85,0.57,0.81,0.6,0.56,0.75,0.63,0.49,0.54,0.62,0.58
202,0.79,0.58,0.3,0.6,0.46,0.69,0.73,0.63,0.86,0.72,0.92,0.56,0.87,0.83,0.77,0.48,0.39,0.82,0.91,0.8,0.57,0.62,0.85,0.64,0.79,0.64,0.77
203,0.85,0.92,0.92,0.92,0.89,0.96,0.87,0.87,0.89,0.89,0.87,0.91,0.79,0.87,0.86,0.88,0.89,0.91,0.41,0.96,0.89,0.86,0.89,0.89,0.95,0.86,0.9
204,0.04,0.04,0.04,0.03,0.03,0.04,0.04,0.04,0.03,0.04,0.05,0.05,0.04,0.04,0.04,0.03,0.03,0.04,0.04,0.04,0.03,0.04,0.04,0.04,0.03,0.04,0.04
205,0.96,0.97,0.96,0.95,0.97,0.95,0.95,0.96,0.96,0.96,0.93,0.95,0.96,0.97,0.95,0.98,0.97,0.95,0.43,0.95,0.97,0.92,0.97,0.77,0.96,0.96,0.96
206,0.93,0.95,0.92,0.99,0.91,0.92,0.93,0.94,0.94,0.94,0.89,0.93,0.93,0.93,0.91,0,0.94,0.93,0.92,0.92,0.93,0.92,0.94,0.86,0.93,0.94,0.94
207,0.98,0.98,0.98,0.98,0.97,0.98,0.98,0.97,0.98,0.98,0.98,0.97,0.97,0.98,0.97,0.99,0.99,0.97,0.91,0.96,0.98,0.97,0.98,0.85,0.98,0.96,0.97
208,0.92,0.91,0.92,0.85,0.9,0.92,0.92,0.93,0.93,0.92,0.91,0.92,0.92,0.92,0.92,0.94,0.94,0.92,0.72,0.91,0.92,0.89,0.94,0.86,0.93,0.89,0.92
209,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
210,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
212,0.92,0.93,0.94,0.85,0.93,0.87,0.79,0.86,0.58,0.85,0.87,0.76,0.48,0.95,0.84,0.92,0.9,0.82,0.86,0.84,0.86,0.95,0.75,0.78,0.94,0.88,0.92
213,0.99,0.98,0.98,0,0.98,0.93,0.95,0.98,0.99,0.35,0.99,0.94,0.98,0.89,0.97,0,0.83,0.97,0.99,0.9,0.88,0,0.33,0.98,0.87,0.89,0.98
214,0.46,0.58,0.52,0.53,0.56,0.48,0.5,0.42,0.49,0.42,0.55,0.41,0.49,0.49,0.52,0.54,0.46,0.46,0.46,0.48,0.42,0.55,0.49,0.51,0.4,0.46,0.49
215,0.74,0.7,0.57,0.7,0.58,0.73,0.85,0.47,0.83,0.68,0.81,0.81,0.86,0.8,0.83,0.57,0.72,0.72,0.93,0.86,0.73,0.68,0.71,0.71,0.77,0.77,0.69
216,0.94,0.96,0.51,0,0.52,0.96,0.95,0.96,0.96,0.54,0.97,0.95,0.96,0.92,0.97,0.15,0.15,0.96,0.97,0.98,0.79,0,0.95,0.95,0.97,0.65,0.93
217,0.06,0.05,0.04,0.03,0.03,0.05,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.04,0.05,0.04,0.04,0.05,0.06,0.06,0.04,0.05,0.04,0.04,0.04,0.06,0.05
218,0.73,0.85,0.18,0.38,0.17,0.83,0.65,0.68,0.75,0.53,0.93,0.73,0.74,0.7,0.81,0.37,0.12,0.71,0.85,0.57,0.62,0.56,0.72,0.69,0.86,0.54,0.57
219,0.08,0.08,0.08,0.06,0.06,0.09,0.07,0.08,0.07,0.07,0.07,0.08,0.08,0.07,0.08,0.07,0.07,0.07,0.07,0.1,0.07,0.06,0.08,0.04,0.07,0.07,0.08
220,0.11,0.11,0.12,0.14,0.12,0.12,0.12,0.12,0.18,0.33,0.09,0.14,0.13,0.15,0.11,0.2,0.14,0.13,0.25,0.14,0.1,0.13,0.18,0.09,0.12,0.25,0.14
221,0.88,0.89,0.88,0.88,0.87,0.88,0.89,0.84,0.79,0.82,0.93,0.88,0.9,0.88,0.83,0.8,0.88,0.84,0.7,0.89,0.9,0.77,0.81,0.82,0.88,0.84,0.83
222,0.48,0.61,0.7,0.63,0.69,0.76,0.6,0.6,0.71,0.37,0.56,0.72,0.77,0.66,0.66,0.35,0.34,0.76,0.76,0.81,0.66,0.54,0.69,0.6,0.79,0.52,0.48
223,0.9,0.92,0.89,0.89,0.91,0.91,0.89,0.89,0.87,0.78,0.9,0.93,0.87,0.91,0.61,0.88,0.87,0.79,0.74,0.92,0.92,0.92,0.61,0.87,0.91,0.73,0.89
224,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.04,0.01,0.01,0.01,0.01,0.01,0.01,0.01
225,0.02,0.01,0.02,0.01,0.01,0.01,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.01,0.02,0.01,0.03,0.01,0.02,0.01,0.01,0.01,0.02,0.02
226,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.01,0.01,0.01,0,0.01,0.01,0.01
227,0.86,0.91,0.91,0.9,0.9,0.89,0.87,0.86,0.91,0.88,0.93,0.88,0.4,0.75,0.81,0.89,0.91,0.81,0.81,0.85,0.91,0.85,0.91,0.83,0.71,0.83,0.84
228,0.98,0.96,0.95,0.98,0.95,0.93,0.97,0.91,0.91,0.95,0.96,0.88,0.97,0.97,0.52,0,0.97,0.96,0.94,0.89,0.97,0.95,0.98,0.95,0.98,0.95,0.96
229,0.6,0.6,0.58,0.6,0.59,0.65,0.56,0.57,0.68,0.52,0.64,0.6,0.59,0.61,0.63,0.42,0.66,0.66,0.46,0.42,0.42,0.63,0.45,0.63,0.6,0.5,0.54
230,0.93,0.95,0.86,0.94,0.8,0.95,0.89,0.91,0.76,0.68,0.93,0.94,0.63,0.9,0.82,0.64,0.84,0.76,0.69,0.89,0.95,0.8,0.55,0.89,0.92,0.82,0.91
231,0.78,0.83,0.98,0.94,0.95,0.95,0.81,0.96,0.94,0.76,0.78,0.78,0.81,0.69,0.75,0.88,0.77,0.47,0.21,0.86,0.76,0.77,0.53,0.91,0.86,0.86,0.75
232,0.8,0.8,0.8,0.73,0.84,0.76,0.78,0.81,0.81,0.8,0.74,0.8,0.79,0.8,0.78,0.83,0.81,0.76,0.46,0.79,0.79,0.73,0.8,0.67,0.82,0.83,0.8
233,0.82,0.92,0.9,0.91,0.91,0.89,0.78,0.9,0.87,0.88,0.8,0.88,0.91,0.91,0.87,0.89,0.84,0.88,0.82,0.82,0.84,0.9,0.89,0.79,0.89,0.91,0.89
234,0.69,0.83,0.94,0.75,0.93,0.88,0.66,0.55,0.78,0.76,0.83,0.76,0.85,0.72,0.35,0.91,0.87,0.86,0.44,0.79,0.82,0.89,0.82,0.75,0.87,0.73,0.65
235,0.01,0.01,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.03,0.02,0.01,0.01,0.01,0.02,0.01,0.02,0.02,0.01,0.02,0.01
236,0.98,0.99,0.97,0.98,0.96,0.97,0.98,0.98,0.95,0.93,0.98,0.98,0.97,0.91,0.98,0.94,0.95,0.95,0.94,0.93,0.98,0.94,0.81,0.96,0.98,0.97,0.94
237,0.86,0.92,0.91,0.88,0.91,0.93,0.71,0.87,0.91,0.77,0.91,0.87,0.88,0.88,0.86,0.88,0.9,0.83,0.54,0.87,0.79,0.83,0.9,0.87,0.91,0.75,0.86
238,0.88,0.9,0.96,0.7,0.93,0.86,0.71,0.33,0.84,0.86,0.94,0.92,0.88,0.95,0.8,0.93,0.95,0.87,0.69,0.78,0.87,0.92,0.9,0.75,0.92,0.85,0.87
239,0.03,0.04,0.04,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.02,0.04,0.04,0.04,0.04,0.02,0.03,0.03,0.03,0.04,0.03,0.04,0.04,0.03,0.03,0.04,0.03
240,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02
241,0.8,0.8,0.47,0.57,0.43,0.72,0.7,0.52,0.84,0.45,0.96,0.76,0.81,0.79,0.73,0.64,0.51,0.85,0.73,0.52,0.55,0.68,0.84,0.86,0.86,0.56,0.76
242,0.92,0.94,0.92,0.93,0.93,0.93,0.93,0.91,0.94,0.93,0.92,0.93,0.93,0.94,0.91,0.94,0.93,0.92,0.69,0.93,0.94,0.93,0.94,0.88,0.93,0.92,0.93
243,0.1,0.11,0.08,0.06,0.05,0.11,0.07,0.08,0.12,0.08,0.12,0.1,0.08,0.08,0.07,0.07,0.08,0.09,0.06,0.06,0.1,0.08,0.06,0.11,0.07,0.08,0.07
244,0.78,0.8,0.8,0.8,0.82,0.8,0.8,0.82,0.76,0.76,0.71,0.81,0.8,0.77,0.75,0.81,0.75,0.79,0.45,0.77,0.79,0.77,0.79,0.67,0.83,0.78,0.75
245,0.03,0.02,0.03,0.02,0.02,0.02,0.02,0.04,0.03,0.02,0.03,0.03,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.06,0.03,0.03,0.02,0.02,0.04,0.03,0.04
246,0.12,0.21,0.14,0.3,0.11,0.19,0.25,0.06,0.25,0.15,0.12,0.31,0.47,0.21,0.27,0.22,0.13,0.44,0.31,0.2,0.15,0.17,0.21,0.19,0.3,0.22,0.18
247,0.16,0.16,0.38,0.21,0.36,0.07,0.13,0.06,0.18,0.1,0.14,0.16,0.29,0.2,0.15,0.23,0.19,0.14,0.2,0.11,0.11,0.27,0.15,0.14,0.13,0.17,0.17
248,0.03,0.02,0.03,0.02,0.02,0.02,0.03,0.02,0.02,0.03,0.02,0.03,0.03,0.02,0.02,0.01,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.03,0.03
249,0.98,0.99,0.9,0,0.95,0.98,0.95,0,0.91,0,0,0.82,0.97,0.94,0.95,0,0,0.94,0.19,0.74,0.93,0,0,0,0,0.92,0
250,0.18,0.21,0.21,0.16,0.21,0.2,0.21,0.16,0.26,0.24,0.2,0.19,0.21,0.23,0.18,0.21,0.18,0.22,0.36,0.17,0.21,0.17,0.25,0.19,0.17,0.2,0.18
251,0.86,0.94,0.92,0.95,0.95,0.89,0.89,0.89,0.91,0.9,0.9,0.94,0.95,0.9,0.89,0.91,0.86,0.92,0.92,0.89,0.92,0.91,0.91,0.84,0.93,0.93,0.92
252,0.25,0.84,0.48,0.31,0.47,0.87,0.34,0.7,0.72,0.29,0.8,0.78,0.74,0.52,0.52,0.23,0.64,0.74,0.86,0.76,0.24,0.16,0.55,0.43,0.8,0.24,0.42
253,0.92,0.92,0.9,0.77,0.91,0.88,0.9,0.93,0.88,0.9,0.74,0.9,0.93,0.94,0.92,0.91,0.87,0.92,0.88,0.9,0.9,0.92,0.9,0.74,0.91,0.93,0.94
254,0.44,0.46,0.82,0.31,0.82,0.36,0.29,0.29,0.3,0.18,0.15,0.24,0.35,0.43,0.2,0.32,0.33,0.23,0.08,0.18,0.31,0.69,0.25,0.28,0.22,0.26,0.35
