Site_ID,adipose tissue,adrenal gland,arteries,breast,colon,esophagus,heart,liver,lung,muscle,ovary,pancreas,Peyer's patch,prostate,skin,spinal nerves,spleen,stomach,testis,thyroid gland,uterus,vagina
5061,0.98,0.98,0.99,0.98,0.98,0.98,0.99,0.99,0.98,0.98,0.99,0.98,0.99,0.98,0.98,0.98,0.98,0.99,0.73,0.99,0.98,0.98
5084,0.98,0.97,0.98,0.98,0.79,0.98,0.98,0.98,0.98,0.98,0.99,0.98,0.78,0.94,0.98,0.99,0.98,0.98,0.98,0.98,0.96,0.97
5109,0.98,1,0.99,0.97,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,1,0.99,0.99,1,0.99,0.65,0.99,0.98,0.99
5204,0.96,0.98,0.96,0.93,0.98,0.97,0.96,0.96,0.98,0.96,0.99,0.98,0.98,0.98,0.98,0.97,0.98,0.97,0.8,0.97,0.97,0.98
5251,0.11,0.11,0.12,0.09,0.09,0.12,0.16,0.13,0.13,0.1,0.13,0.09,0.07,0.16,0.11,0.11,0.12,0.1,0.1,0.12,0.11,0.09
5260,0.07,0.08,0.08,0.08,0.08,0.08,0.09,0.08,0.07,0.07,0.08,0.07,0.07,0.06,0.08,0.08,0.07,0.06,0.07,0.08,0.06,0.08
5269,0.84,0.89,0.9,0.83,0.85,0.88,0.88,0.85,0.9,0.86,0.86,0.86,0.83,0.88,0.88,0.83,0.85,0.85,0.76,0.92,0.89,0.88
5294,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
5299,0.03,0.03,0.02,0.01,0.03,0.02,0.01,0.02,0.02,0.03,0.03,0.02,0.02,0.01,0.02,0.02,0.03,0.03,0.01,0.02,0.02,0.03
5332,0.25,0.32,0.31,0.34,0.34,0.32,0.32,0.36,0.3,0.3,0.31,0.3,0.37,0.35,0.34,0.35,0.37,0.33,0.33,0.34,0.33,0.31
5333,0.01,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0,0.02,0.03,0.02,0.02,0.02,0.01,0.02,0.02,0.02
5337,0.61,0.69,0.69,0.74,0.64,0.66,0.64,0.67,0.64,0.62,0.67,0.58,0.65,0.57,0.69,0.64,0.71,0.65,0.73,0.65,0.65,0.63
5368,0.76,0.84,0.43,0.72,0.86,0.68,0.81,0.67,0.57,0.89,0.89,0.34,0.82,0.51,0.78,0.81,0.7,0.53,0.92,0.43,0.89,0.67
5401,0.03,0.03,0.02,0.03,0.06,0.04,0.03,0.19,0.04,0.03,0.02,0.01,0.08,0.04,0.03,0.03,0.07,0.05,0.02,0.02,0.03,0.06
5407,0.05,0.08,0.05,0.04,0.06,0.06,0.07,0.06,0.07,0.06,0.04,0.05,0.05,0.1,0.06,0.05,0.04,0.05,0.07,0.08,0.08,0.06
5413,0.12,0.22,0.36,0.18,0.29,0.11,0.1,0.09,0.1,0.13,0.1,0.09,0.1,0.28,0.16,0.17,0.11,0.12,0.13,0.11,0.13,0.17
5429,0.11,0.09,0.1,0.13,0.13,0.11,0.1,0.11,0.11,0.1,0.12,0.1,0.13,0.09,0.11,0.1,0.11,0.1,0.09,0.1,0.11,0.12
5445,0.95,0.94,0.94,0.9,0.93,0.88,0.93,0.93,0.93,0.84,0.92,0.92,0.94,0.95,0.94,0.92,0.94,0.95,0.92,0.94,0.94,0.95
5450,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.01
5898,0.95,0.95,0.97,0.97,0.95,0.95,0.96,0.92,0.94,0.96,0.97,0.96,0.91,0.98,0.96,0.97,0.9,0.94,0.71,0.96,0.95,0.95
5960,0.08,0.05,0.04,0.06,0.05,0.05,0.06,0.07,0.06,0.06,0.05,0.06,0.04,0.04,0.05,0.06,0.04,0.05,0.05,0.05,0.06,0.04
6023,0.01,0.01,0.02,0.02,0.03,0.04,0.01,0.03,0.03,0.01,0.01,0.01,0.08,0.03,0.01,0.02,0.04,0.03,0.01,0.02,0.01,0.07
6035,0.04,0.27,0.03,0.08,0.04,0.06,0.1,0.06,0.05,0.11,0.05,0.24,0.08,0.11,0.06,0.04,0.08,0.04,0.09,0.03,0.02,0.08
6141,0.1,0.07,0.07,0.09,0.07,0.06,0.06,0.09,0.09,0.05,0.04,0.07,0.1,0.24,0.06,0.05,0.1,0.07,0.03,0.05,0.06,0.12
6154,0.04,0.04,0.03,0.03,0.05,0.04,0.04,0.04,0.03,0.05,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.04,0.05,0.04,0.03,0.04
6164,0.74,0.85,0.84,0.73,0.82,0.82,0.76,0.73,0.87,0.78,0.85,0.88,0.81,0.87,0.81,0.75,0.81,0.81,0.88,0.79,0.85,0.8
6178,0.31,0.3,0.29,0.29,0.32,0.3,0.31,0.32,0.28,0.3,0.32,0.29,0.3,0.28,0.3,0.32,0.33,0.29,0.28,0.28,0.3,0.3
6192,0.08,0.05,0.05,0.06,0.12,0.08,0.06,0.13,0.08,0.06,0.04,0.08,0.16,0.06,0.06,0.06,0.15,0.13,0.06,0.07,0.03,0.13
6195,0.02,0.01,0.01,0.01,0.01,0.01,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0,0.01,0.02,0.02,0.02,0.02,0.01,0,0.02
6205,0.94,0.95,0.94,0.95,0.94,0.93,0.94,0.96,0.95,0.94,0.91,0.95,0.95,0.92,0.94,0.9,0.93,0.95,0.94,0.95,0.94,0.94
6231,0.43,0.32,0.32,0.53,0.46,0.43,0.34,0.56,0.3,0.43,0.31,0.23,0.4,0.45,0.36,0.56,0.27,0.35,0.54,0.61,0.44,0.44
6236,0.04,0.03,0.03,0.03,0.03,0.02,0.03,0.02,0.03,0.04,0.02,0.03,0.03,0.03,0.04,0.03,0.02,0.04,0.02,0.03,0.03,0.02
6252,0.66,0.8,0.72,0.65,0.59,0.58,0.72,0.75,0.62,0.72,0.77,0.37,0.63,0.48,0.54,0.58,0.75,0.54,0.78,0.44,0.77,0.62
6289,0.04,0.03,0.03,0.03,0.04,0.04,0.03,0.03,0.04,0.03,0.03,0.02,0.05,0.04,0.03,0.03,0.05,0.05,0.02,0.03,0.03,0.03
6337,0.92,0.92,0.87,0.84,0.91,0.9,0.92,0.93,0.93,0.88,0.92,0.92,0.93,0.92,0.92,0.9,0.93,0.93,0.92,0.93,0.88,0.91
6343,0.82,0.8,0.79,0.77,0.85,0.81,0.88,0.84,0.82,0.84,0.78,0.79,0.85,0.81,0.8,0.77,0.8,0.81,0.68,0.86,0.83,0.79
6345,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.02,0.01,0,0.01,0.01,0.02,0.01,0,0.01,0.01,0.01,0.02,0.01,0.01
6350,0.94,0.93,0.95,0.94,0.94,0.94,0.94,0.93,0.95,0.94,0.94,0.94,0.9,0.98,0.92,0.93,0.94,0.94,0.9,0.95,0.96,0.94
6370,0.03,0.03,0.02,0.02,0.01,0.03,0.03,0.04,0.03,0.03,0.04,0.03,0.04,0.05,0.03,0.02,0.04,0.03,0.02,0.04,0.02,0.02
6376,0.06,0.04,0.03,0.05,0.04,0.04,0.04,0.03,0.03,0.04,0.04,0.03,0.03,0.03,0.04,0.04,0.02,0.04,0.04,0.03,0.04,0.03
6412,0.88,0.91,0.92,0.91,0.92,0.9,0.92,0.9,0.93,0.91,0.9,0.9,0.91,0.91,0.9,0.91,0.92,0.92,0.75,0.92,0.93,0.91
6437,0.02,0.02,0.02,0.02,0.03,0.01,0.01,0.01,0.02,0.02,0.03,0.02,0.01,0.01,0.02,0.02,0.02,0.03,0.02,0.03,0.02,0.02
6443,0.02,0.01,0.03,0.02,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.04,0.01,0.01,0.02,0.02,0.03,0.01,0.03,0.02
6467,0.04,0.02,0.01,0.08,0.02,0.03,0.03,0.05,0.05,0.04,0.03,0.02,0.05,0.06,0.06,0.02,0.06,0.04,0.03,0.03,0,0.03
6483,0.32,0.69,0.23,0.32,0.52,0.7,0.54,0.01,0.46,0.72,0.53,0.33,0.29,0.67,0.47,0.56,0.26,0.27,0.63,0.63,0.64,0.52
6486,0.99,0.98,0.99,0.93,0.99,0.98,1,0.99,0.99,0.98,0.99,0.99,0.99,0.99,0.99,0.98,0.99,0.99,0.67,0.98,0.99,0.99
6613,0.11,0.5,0.33,0.46,0.2,0.24,0.3,0.32,0.09,0.22,0.42,0.17,0.18,0.21,0.23,0.22,0.14,0.12,0.34,0.12,0.38,0.2
6614,0.01,0.02,0.02,0.02,0.01,0.03,0.02,0.03,0.02,0.03,0.01,0.02,0.02,0.01,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.03
6646,0.95,0.88,0.97,0.92,0.96,0.96,0.94,0.89,0.96,0.96,0.92,0.47,0.97,0.97,0.96,0.97,0.95,0.95,0.94,0.96,0.94,0.94
6712,0.91,0.9,0.88,0.91,0.9,0.9,0.86,0.91,0.93,0.88,0.9,0.91,0.92,0.89,0.9,0.85,0.92,0.9,0.63,0.89,0.88,0.89
6766,0.88,0.89,0.89,0.91,0.88,0.88,0.9,0.88,0.9,0.9,0.89,0.88,0.87,0.89,0.88,0.89,0.87,0.89,0.52,0.89,0.88,0.88
6772,0.05,0.03,0.03,0.05,0.03,0.04,0.04,0.02,0.04,0.04,0.02,0.03,0.06,0.06,0.05,0.05,0.04,0.05,0.04,0.05,0.04,0.03
6805,0.92,0.88,0.9,0.83,0.89,0.88,0.9,0.88,0.91,0.71,0.87,0.86,0.9,0.94,0.9,0.89,0.89,0.9,0.88,0.9,0.9,0.91
6846,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0,0,0.01,0.01,0.01,0.01,0,0.01,0,0.01
6856,0.46,0.3,0.45,0.29,0.29,0.24,0.43,0.31,0.4,0.29,0.19,0.18,0.29,0.24,0.36,0.41,0.28,0.24,0.31,0.34,0.32,0.4
6863,0.8,0.84,0.85,0.8,0.8,0.8,0.88,0.78,0.75,0.84,0.84,0.85,0.69,0.8,0.86,0.86,0.69,0.74,0.53,0.85,0.88,0.76
6864,0.03,0.02,0.03,0.02,0.01,0.02,0.03,0.01,0.02,0.03,0.04,0.01,0.01,0.03,0.03,0.04,0.01,0.02,0.06,0.04,0.02,0.03
6866,0.04,0.03,0.07,0.02,0.04,0.03,0.04,0.03,0.02,0.04,0.04,0.05,0.06,0.05,0.03,0.04,0.05,0.03,0.03,0.05,0.01,0.03
7033,0.98,0.99,0.99,0.99,0.98,0.98,0.99,0.96,0.98,0.78,0.99,0.98,0.98,0.99,0.98,0.98,0.98,0.99,0.98,0.99,0.99,0.99
7037,0.04,0.03,0.03,0.03,0.04,0.04,0.03,0.04,0.02,0.04,0.04,0.03,0.02,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.03
7072,0.01,0.02,0.02,0.05,0.03,0.04,0.01,0.02,0.02,0.03,0.02,0.01,0.05,0.02,0.02,0.02,0.03,0.02,0.01,0.01,0.03,0.04
7077,1,0.99,0.99,0.99,0.99,1,0.99,1,0.99,0.99,1,0.99,0.99,1,1,0.99,0.99,1,0.79,0.98,0.99,1
7136,0.42,0.39,0.76,0.27,0.36,0.3,0.48,0.37,0.52,0.25,0.51,0.36,0.43,0.31,0.3,0.29,0.65,0.42,0.38,0.6,0.33,0.38
7197,0.88,0.93,0.91,0.92,0.9,0.9,0.9,0.92,0.94,0.92,0.92,0.92,0.9,0.94,0.91,0.91,0.93,0.92,0.6,0.92,0.93,0.91
7201,0.92,0.72,0.94,0.92,0.95,0.94,0.93,0.97,0.95,0.92,0.95,0.96,0.95,0.96,0.94,0.94,0.92,0.96,0.92,0.94,0.91,0.96
7222,0.96,0.97,0.88,0.95,0.96,0.96,0.95,0.97,0.97,0.96,0.93,0.98,0.95,0.97,0.92,0.93,0.95,0.97,0.95,0.97,0.96,0.96
7232,0.41,0.63,0.4,0.45,0.49,0.51,0.34,0.61,0.47,0.48,0.34,0.75,0.48,0.61,0.52,0.32,0.54,0.52,0.72,0.52,0.39,0.38
7245,0.06,0.08,0.12,0.14,0.2,0.17,0.18,0.05,0.07,0.32,0.06,0.08,0.19,0.08,0.13,0.05,0.06,0.1,0.03,0.11,0.06,0.06
7252,0.1,0.1,0.11,0.17,0.16,0.21,0.09,0.07,0.09,0.18,0.09,0.1,0.11,0.17,0.16,0.1,0.09,0.14,0.07,0.1,0.09,0.1
7288,0.4,0.66,0.63,0.54,0.52,0.58,0.32,0.57,0.49,0.56,0.32,0.38,0.46,0.61,0.61,0.35,0.55,0.49,0.28,0.46,0.49,0.49
7298,0.1,0.12,0.07,0.16,0.09,0.1,0.11,0.17,0.1,0.11,0.07,0.37,0.12,0.11,0.14,0.05,0.1,0.09,0.11,0.09,0.09,0.1
7324,0.96,0.96,0.97,0.96,0.97,0.96,0.97,0.96,0.97,0.95,0.95,0.96,0.97,0.98,0.96,0.95,0.96,0.97,0.67,0.77,0.99,0.96
7328,0.05,0.07,0.06,0.04,0.05,0.06,0.06,0.07,0.05,0.06,0.05,0.05,0.06,0.04,0.06,0.06,0.06,0.04,0.08,0.05,0.07,0.05
7374,0.92,0.98,0.95,0.98,0.96,0.97,0.62,0.98,0.98,0.88,0.99,0.94,0.99,0.99,0.98,0.91,0.99,0.98,0.98,0.99,0.98,0.99
7394,0.98,0.98,0.97,0.99,0.98,0.97,0.96,1,0.99,0.99,0.99,0.98,0.99,1,0.98,0.99,0.96,0.99,0.56,0.99,1,0.98
7402,0.05,0.05,0.03,0.05,0.04,0.06,0.04,0.14,0.05,0.04,0.03,0.04,0.07,0.05,0.04,0.05,0.07,0.05,0.04,0.05,0.05,0.04
7422,0.98,0.99,0.98,0.97,0.98,0.98,0.98,0.99,0.99,0.98,0.98,0.99,0.98,0.98,0.96,0.98,0.99,0.99,0.98,0.98,0.97,0.98
7434,0.96,0.98,0.98,0.97,0.98,0.98,0.98,0.97,0.98,0.98,0.98,0.98,0.97,0.97,0.98,0.97,0.98,0.98,0.69,0.98,0.97,0.98
7474,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01
7517,0.96,0.96,0.97,0.96,0.94,0.92,0.96,0.96,0.95,0.96,0.94,0.93,0.93,0.97,0.92,0.97,0.96,0.9,0.93,0.95,0.95,0.95
7747,0.03,0.03,0.05,0.04,0.04,0.04,0.04,0.03,0.04,0.04,0.04,0.06,0.05,0.06,0.03,0.03,0.04,0.05,0.05,0.03,0.04,0.05
7786,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
7791,0.94,0.95,0.95,0.95,0.95,0.95,0.95,0.96,0.96,0.92,0.91,0.95,0.97,0.97,0.96,0.94,0.96,0.95,0.77,0.96,0.97,0.93
8005,0,0.01,0.01,0.02,0,0,0.01,0,0.01,0.01,0,0.01,0.01,0.01,0,0,0.01,0.02,0,0.01,0,0
8008,0.9,0.95,0.91,0.92,0.96,0.92,0.92,0.95,0.93,0.93,0.9,0.9,0.93,0.95,0.9,0.84,0.92,0.91,0.93,0.94,0.92,0.91
8035,0.02,0.35,0.01,0.03,0.03,0.04,0.1,0.02,0.02,0.13,0.05,0.06,0.02,0.07,0.01,0.02,0.01,0.03,0.19,0.02,0.01,0.02
8037,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.03,0.01,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.02
8060,0.79,0.96,0.88,0.9,0.96,0.94,0.84,0.92,0.98,0.89,0.97,0.96,0.96,0.96,0.9,0.87,0.92,0.95,0.96,0.89,0.89,0.86
8096,0.24,0.34,0.33,0.26,0.28,0.31,0.36,0.24,0.41,0.26,0.23,0.29,0.24,0.35,0.32,0.25,0.24,0.29,0.3,0.3,0.4,0.31
8255,0.01,0.01,0,0.01,0.01,0,0.01,0.01,0.01,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01
8260,0.03,0.04,0.02,0.03,0.03,0.03,0.04,0.03,0.03,0.03,0.02,0.03,0.04,0.05,0.04,0.04,0.04,0.02,0.04,0.03,0.02,0.01
8289,0.05,0.08,0.05,0.06,0.11,0.09,0.06,0.06,0.07,0.06,0.04,0.1,0.08,0.15,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05
8303,0.84,0.85,0.86,0.82,0.87,0.84,0.86,0.86,0.89,0.84,0.86,0.85,0.88,0.87,0.85,0.86,0.88,0.88,0.67,0.82,0.87,0.87
8359,0.88,0.91,0.88,0.89,0.91,0.88,0.9,0.9,0.91,0.88,0.9,0.9,0.9,0.9,0.89,0.89,0.82,0.87,0.66,0.9,0.88,0.9
8367,0.86,0.9,0.88,0.88,0.88,0.88,0.89,0.9,0.91,0.88,0.88,0.88,0.88,0.89,0.88,0.88,0.91,0.89,0.93,0.87,0.89,0.88
8390,0.79,0.58,0.88,0.83,0.55,0.88,0.84,0.79,0.71,0.89,0.45,0.89,0.87,0.31,0.82,0.9,0.87,0.8,0.74,0.87,0.5,0.32
8414,0.03,0.02,0.01,0.03,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.02,0,0.03,0.01,0.02,0.03,0.02,0.01,0.03,0.02,0.01
8612,0.95,0.97,0.97,0.87,0.97,0.97,0.98,0.98,0.95,0.97,0.92,0.97,0.97,0.99,0.98,0.97,0.98,0.98,0.69,0.98,0.98,0.97
8683,0.84,0.84,0.82,0.87,0.84,0.83,0.85,0.87,0.83,0.86,0.82,0.82,0.85,0.87,0.86,0.89,0.88,0.85,0.78,0.88,0.83,0.86
8721,0.66,0.71,0.59,0.5,0.64,0.69,0.69,0.73,0.67,0.58,0.4,0.75,0.66,0.67,0.68,0.56,0.76,0.65,0.56,0.68,0.48,0.59
8722,0.02,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.01
8747,0,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0,0,0.02,0.01
8865,0.84,0.83,0.93,0.7,0.94,0.83,0.96,0.97,0.96,0.92,0.9,0.95,0.94,0.94,0.82,0.8,0.97,0.92,0.92,0.94,0.94,0.89
8911,0.94,0.97,0.97,0.88,0.98,0.96,0.97,0.97,0.96,0.96,0.99,0.94,0.98,0.88,0.94,0.97,0.97,0.96,1,0.96,0.97,0.96
8930,0.4,0.58,0.41,0.54,0.38,0.44,0.44,0.58,0.53,0.42,0.21,0.73,0.38,0.51,0.42,0.19,0.45,0.41,0.25,0.55,0.19,0.31
8932,0.01,0.01,0.01,0.02,0.02,0.01,0,0,0.02,0.01,0.02,0.03,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.02
8961,0.13,0.14,0.1,0.14,0.14,0.12,0.12,0.19,0.18,0.12,0.12,0.17,0.17,0.1,0.12,0.1,0.17,0.16,0.14,0.12,0.09,0.12
9061,0.94,0.97,0.94,0.95,0.96,0.96,0.94,0.97,0.95,0.96,0.93,0.98,0.97,0.97,0.96,0.94,0.96,0.96,0.59,0.95,0.97,0.96
9106,0.99,0.99,0.48,0.99,0.98,0.98,0.86,0.98,0.98,0.99,0.95,0.99,0.97,0.99,0.99,0.98,0.99,0.99,0.96,0.99,0.98,0.97
9113,0.98,0.98,0.96,0.96,0.98,0.96,0.98,0.98,0.98,0.96,0.97,0.98,0.98,0.98,0.96,0.97,0.97,0.97,0.77,0.98,0.97,0.98
9273,0.97,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.99,0.98,0.99,0.99,0.99,0.59,0.98,0.98,0.98
9298,0.04,0.03,0.03,0.03,0.04,0.04,0.05,0.05,0.04,0.04,0.04,0.05,0.01,0.03,0.04,0.03,0.03,0.06,0.04,0.04,0.03,0.04
9317,0.73,0.85,0.87,0.82,0.81,0.8,0.81,0.9,0.75,0.83,0.94,0.88,0.75,0.82,0.79,0.77,0.8,0.7,0.73,0.69,0.87,0.75
9319,0.1,0.05,0.07,0.18,0.16,0.17,0.11,0.14,0.08,0.16,0.03,0.06,0.2,0.05,0.04,0.06,0.02,0.14,0.05,0.07,0.06,0.14
9354,0.03,0.03,0.01,0.03,0.03,0.03,0.03,0.03,0.02,0.03,0.02,0.01,0.02,0.02,0.04,0.02,0.04,0.04,0.04,0.03,0.03,0.03
9357,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0.02,0.01,0,0.01,0.02,0,0.01,0.02,0.01,0.02,0.02,0.01,0.02,0
9382,0.96,0.95,0.97,0.97,0.96,0.98,0.98,0.97,0.97,0.96,0.97,0.96,0.96,0.98,0.98,0.98,0.97,0.98,0.65,0.95,0.97,0.98
9444,0.03,0.02,0.03,0.03,0.02,0.03,0.03,0.01,0.03,0.02,0.03,0.01,0.02,0.02,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.01
9450,0.01,0.02,0.02,0.02,0.02,0.01,0.03,0.03,0.02,0.01,0.02,0.01,0.02,0.03,0.01,0.01,0.01,0.02,0.01,0.02,0.02,0.01
9460,0.01,0.02,0.02,0.02,0.01,0.01,0.03,0.01,0.02,0.01,0.01,0.02,0.01,0.02,0.02,0.02,0.01,0.02,0.02,0.01,0.02,0.02
9465,0.04,0.05,0.03,0.05,0.12,0.03,0.12,0.01,0.08,0.04,0.03,0.05,0.12,0,0.04,0.02,0.08,0.02,0.09,0.06,0.02,0.05
9473,0.96,0.96,0.98,0.98,0.97,0.98,0.96,0.96,0.98,0.98,0.97,0.95,0.97,0.98,0.98,0.98,0.97,0.97,0.63,0.98,0.97,0.99
9564,0.85,0.85,0.87,0.75,0.9,0.87,0.89,0.83,0.91,0.88,0.83,0.88,0.89,0.9,0.88,0.87,0.87,0.91,0.57,0.87,0.87,0.88
9627,0.02,0.01,0.02,0.02,0.01,0.01,0.03,0.04,0.01,0.03,0.01,0.02,0.02,0.02,0.01,0.01,0.02,0.01,0.01,0.02,0.02,0.01
9686,0.02,0.02,0.01,0.02,0.01,0.01,0.03,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.02,0.02,0.02
9724,0.89,0.82,0.87,0.81,0.9,0.75,0.9,0.93,0.92,0.86,0.8,0.85,0.91,0.76,0.74,0.88,0.91,0.83,0.88,0.91,0.86,0.85
9729,0.03,0.02,0.03,0.04,0.05,0.04,0.02,0.04,0.03,0.03,0.02,0.04,0.06,0.05,0.04,0.02,0.03,0.05,0.04,0.04,0.05,0.03
9731,0.04,0.02,0.03,0.04,0.03,0.04,0.03,0.04,0.04,0.03,0.05,0.02,0.04,0.05,0.03,0.02,0.03,0.03,0.03,0.04,0.03,0.03
9742,0.06,0.06,0.07,0.07,0.06,0.06,0.07,0.05,0.06,0.06,0.05,0.08,0.05,0.04,0.06,0.06,0.06,0.06,0.04,0.06,0.07,0.06
9770,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.02,0.03,0.02,0.03,0.03,0.03,0.03,0.03,0.02,0.03,0.03,0.03
9808,0.98,0.53,0.99,0.99,0.98,0.98,0.98,0.99,0.96,0.98,0.97,0.99,0.99,0.99,0.99,0.98,0.98,0.98,0.98,0.99,0.97,0.98
9975,0.12,0.09,0.09,0.11,0.1,0.09,0.08,0.12,0.1,0.1,0.09,0.11,0.1,0.08,0.09,0.06,0.08,0.09,0.07,0.09,0.08,0.1
10235,0.01,0.02,0.04,0.05,0.02,0.01,0.04,0.01,0.02,0.03,0.02,0.02,0.02,0.05,0.03,0.01,0.01,0.01,0.02,0.01,0.01,0.02
10348,0.95,0.98,0.98,0.94,0.98,0.98,0.86,0.99,0.98,0.96,0.93,0.98,0.98,0.97,0.98,0.98,0.99,0.97,0.67,0.97,0.97,0.97
10431,0.04,0.03,0.03,0.03,0.03,0.03,0.04,0.02,0.03,0.03,0.03,0.02,0.02,0.02,0.04,0.04,0.02,0.02,0.03,0.03,0.03,0.03
10433,0.01,0.02,0.02,0.03,0.02,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.03,0.05,0.01,0.03,0.01,0.01,0.01,0.02,0.02,0.02
10501,0.68,0.79,0.54,0.49,0.46,0.49,0.74,0.49,0.71,0.54,0.54,0.27,0.54,0.42,0.44,0.65,0.9,0.44,0.49,0.43,0.41,0.51
10537,0.96,0.98,0.98,0.97,0.98,0.97,0.98,0.97,0.98,0.98,0.98,0.95,0.98,0.98,0.97,0.98,0.98,0.98,0.68,0.98,0.97,0.98
10560,0.04,0.05,0.04,0.05,0.06,0.06,0.06,0.05,0.04,0.05,0.04,0.04,0.05,0.05,0.06,0.06,0.04,0.04,0.07,0.05,0.07,0.03
10568,0.03,0.06,0.02,0.04,0.03,0.03,0.04,0.24,0.03,0.03,0.05,0.16,0.03,0.04,0.01,0.01,0.03,0.03,0.09,0.04,0.04,0.03
10601,0.01,0.02,0.03,0.01,0.03,0.03,0.01,0,0.03,0.01,0.01,0.01,0.06,0.01,0.01,0.01,0.03,0.02,0.02,0.02,0.01,0.03
10621,0.52,0.75,0.74,0.5,0.67,0.56,0.61,0.71,0.64,0.64,0.71,0.8,0.67,0.38,0.5,0.73,0.54,0.66,0.77,0.78,0.73,0.52
10659,0.06,0.05,0.07,0.07,0.06,0.07,0.04,0.06,0.05,0.05,0.09,0.06,0.08,0.02,0.08,0.07,0.06,0.07,0.05,0.09,0.05,0.04
10861,0.94,0.9,0.94,0.93,0.93,0.94,0.94,0.94,0.95,0.94,0.93,0.94,0.92,0.93,0.94,0.93,0.92,0.94,0.68,0.92,0.91,0.95
10994,0.04,0.03,0.05,0.03,0.04,0.03,0.03,0.43,0.04,0.07,0.03,0.03,0.05,0.03,0.04,0.03,0.06,0.04,0.02,0.05,0.03,0.04
11051,0.96,0.96,0.95,0.96,0.98,0.96,0.96,0.95,0.96,0.95,0.93,0.74,0.93,0.98,0.96,0.95,0.95,0.96,0.96,0.96,0.97,0.97
11161,0.04,0.03,0.04,0.04,0.07,0.12,0.03,0.07,0.07,0.03,0.02,0.02,0.11,0.09,0.04,0.02,0.1,0.05,0.01,0.05,0.03,0.11
11162,0.98,0.98,0.99,0.99,0.94,0.99,0.9,1,0.99,0.87,1,0.99,0.96,1,0.99,0.99,0.99,0.98,0.98,1,0.99,0.99
11190,0.03,0.01,0.01,0.03,0.01,0.01,0.01,0,0.02,0.01,0.01,0.01,0,0.01,0.01,0.03,0.01,0.01,0.01,0.04,0.02,0.01
11206,0.03,0.01,0.02,0.02,0.02,0.02,0.03,0.01,0.03,0.03,0.02,0.01,0.02,0.01,0.01,0.03,0.01,0.03,0.02,0.01,0.01,0.02
11210,0.03,0.03,0.02,0.03,0.02,0.03,0.01,0.03,0.03,0.02,0.03,0.02,0.02,0.05,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02
11233,0.96,0.97,0.98,0.97,0.98,0.96,0.98,0.99,0.99,0.98,0.96,0.97,0.97,1,0.98,0.97,0.98,0.98,0.54,0.98,0.96,0.97
11308,0.96,0.88,0.98,0.96,0.98,0.98,0.98,0.96,0.97,0.95,0.98,0.95,0.98,0.99,0.96,0.98,0.84,0.99,0.66,0.95,0.98,0.98
11321,0.03,0.03,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.04,0.03,0.04,0.03,0.03,0.02,0.03,0.02,0.02
