Site_ID,breast,colon,kidney,lung,muscle,ovary,prostate,testis,blood
29037,0.96,0.98,0.97,0.97,0.97,0.94,0.97,0.61,0.98
29732,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.6,0.97
30128,0.97,0.98,0.98,0.98,0.97,0.97,0.97,0.41,0.98
30275,0.97,0.97,0.97,0.97,0.97,0.96,0.97,0.51,0.97
30480,0.03,0.03,0.03,0.03,0.03,0.05,0.03,0.43,0.04
30797,0.93,0.94,0.93,0.94,0.94,0.91,0.93,0.56,0.93
30814,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.51,0.98
31060,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.59,0.99
31126,0.94,0.94,0.93,0.94,0.94,0.94,0.95,0.94,0.93
31434,0.97,0.97,0.97,0.97,0.26,0.97,0.97,0.97,0.97
31528,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.55,0.99
31682,0.97,0.92,0.96,0.97,0.96,0.26,0.97,0.97,0.95
31923,0.92,0.92,0.92,0.87,0.94,0.92,0.91,0.41,0.78
32287,0.98,0.98,0.98,0.98,0.98,0.99,0.98,0.59,0.94
33544,0.04,0.21,0.03,0.04,0.04,0.03,0.06,0.03,0.04
33897,0.94,0.95,0.95,0.94,0.94,0.94,0.95,0.47,0.94
34285,0.97,0.98,0.98,0.98,0.98,0.46,0.99,0.95,0.98
34517,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.51,0.97
35777,0.95,0.97,0.96,0.97,0.97,0.96,0.96,0.55,0.97
36117,0.97,0.96,0.96,0.96,0.97,0.95,0.96,0.55,0.96
36131,0.97,0.98,0.97,0.97,0.96,0.98,0.98,0.58,0.97
36329,0.95,0.97,0.93,0.98,0.96,0.95,0.98,0.58,0.96
36388,0.93,0.93,0.93,0.94,0.87,0.93,0.94,0.51,0.96
36402,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.43,0.97
36698,0.98,0.98,0.98,0.91,0.98,0.98,0.98,0.98,0.98
37167,0.96,0.97,0.97,0.97,0.97,0.96,0.97,0.52,0.97
37445,0.98,0.98,0.98,0.98,0.97,0.95,0.98,0.42,0.98
38001,0.98,0.98,0.99,0.98,0.98,0.98,0.98,0.54,0.97
38569,0.98,0.98,0.98,0.98,0.98,0.97,0.97,0.56,0.98
38848,0.98,0.99,0.99,0.99,0.99,0.96,0.99,0.61,0.99
38930,0.95,0.94,0.95,0.94,0.91,0.96,0.95,0.33,0.94
39169,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.57,0.99
39183,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.68,0.99
39446,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.34,0.97
39895,0.95,0.97,0.96,0.97,0.95,0.95,0.95,0.54,0.97
40147,0.96,0.96,0.95,0.96,0.94,0.95,0.95,0.54,0.95
40487,0.96,0.95,0.98,0.97,0.96,0.98,0.73,0.98,0.98
40793,0.98,0.98,0.98,0.98,0.97,0.98,0.98,0.42,0.98
41217,0.98,0.97,0.97,0.97,0.96,0.96,0.94,0.47,0.98
41276,0.97,0.97,0.97,0.97,0.96,0.96,0.96,0.51,0.98
41327,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.57,0.97
41403,0.97,0.97,0.97,0.97,0.96,0.96,0.96,0.54,0.97
41651,0.98,0.98,0.97,0.98,0.98,0.98,0.98,0.47,0.97
41688,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.55,0.98
42029,0.88,0.92,0.92,0.92,0.86,0.87,0.92,0.49,0.9
42364,0.98,0.98,0.97,0.98,0.88,0.97,0.97,0.49,0.97
42585,0.98,0.96,0.98,0.97,0.98,0.98,0.98,0.52,0.97
42667,0.94,0.98,0.98,0.98,0.98,0.97,0.98,0.63,0.98
42804,0.03,0.06,0.03,0.03,0.02,0.02,0.03,0.03,0.03
42906,0.97,0.97,0.96,0.97,0.97,0.97,0.97,0.64,0.97
43328,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.58,0.98
43817,0.92,0.91,0.87,0.91,0.89,0.88,0.87,0.53,0.91
43983,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.49,0.99
44019,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.53,0.97
44251,0.97,0.98,0.98,0.98,0.98,0.97,0.97,0.51,0.98
44332,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.67,0.98
44413,0.97,0.97,0.98,0.97,0.98,0.97,0.97,0.51,0.95
44824,0.82,0.84,0.85,0.82,0.8,0.83,0.82,0.49,0.82
45591,0.95,0.95,0.94,0.95,0.95,0.95,0.95,0.53,0.95
45670,0.97,0.97,0.96,0.98,0.97,0.97,0.97,0.96,0.97
45810,0.97,0.86,0.97,0.97,0.97,0.97,0.96,0.97,0.98
46313,0.95,0.96,0.95,0.95,0.95,0.94,0.95,0.55,0.95
46650,0.9,0.9,0.89,0.9,0.89,0.89,0.9,0.21,0.88
46697,0.96,0.96,0.95,0.96,0.96,0.96,0.96,0.58,0.97
47525,0.98,0.98,0.9,0.96,0.98,0.98,0.98,0.76,0.98
48022,0.98,0.97,0.95,0.97,0.96,0.97,0.98,0.44,0.97
48181,0.95,0.94,0.95,0.93,0.95,0.94,0.95,0.6,0.96
48279,0.88,0.9,0.87,0.87,0.85,0.86,0.88,0.44,0.93
48464,0.98,0.97,0.99,0.97,0.94,0.99,0.98,0.9,0.98
48803,0.95,0.95,0.96,0.93,0.95,0.96,0.95,0.56,0.88
49300,0.95,0.97,0.97,0.97,0.97,0.97,0.97,0.67,0.98
49503,0.96,0.98,0.75,0.98,0.93,0.97,0.98,0.98,0.98
49539,0.9,0.88,0.9,0.9,0.89,0.9,0.89,0.42,0.85
49691,0.97,0.97,0.97,0.97,0.97,0.96,0.97,0.39,0.97
49852,0.97,0.97,0.97,0.97,0.97,0.96,0.97,0.73,0.96
49935,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.6,0.99
50053,0.98,0.98,0.98,0.98,0.98,0.49,0.98,0.97,0.98
50199,0.98,0.99,0.98,0.98,0.98,0.98,0.98,0.54,0.99
50385,0.93,0.94,0.93,0.94,0.96,0.91,0.92,0.46,0.93
50580,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.49,0.99
50621,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.62,0.99
51170,0.98,0.98,0.97,0.97,0.97,0.27,0.97,0.95,0.95
51269,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.02
51604,0.98,0.98,0.98,0.98,0.98,0.98,0.96,0.45,0.98
51918,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01
52488,0.94,0.96,0.95,0.93,0.94,0.93,0.95,0.63,0.95
52580,0.97,0.99,0.99,0.99,0.98,0.96,0.99,0.61,0.98
52620,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.99
52892,0.95,0.95,0.93,0.94,0.94,0.94,0.94,0.34,0.93
52984,0.99,0.98,0.99,0.98,0.99,0.98,0.99,0.46,0.99
53404,0.98,0.98,0.98,0.97,0.98,0.98,0.98,0.45,0.97
53762,0.98,0.98,0.98,0.98,0.98,0.97,0.98,0.41,0.98
54273,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
54424,0.98,0.96,0.97,0.97,0.98,0.95,0.96,0.42,0.98
54437,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.39,0.98
54445,0.95,0.96,0.96,0.97,0.96,0.93,0.95,0.65,0.98
54564,0.97,0.99,0.99,0.98,0.99,0.99,0.99,0.57,0.89
54770,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.6,0.99
54928,0.03,0.03,0.03,0.03,0.02,0.02,0.04,0.02,0.03
54943,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.45,0.97
56433,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.49,0.97
56518,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.47,0.98
56643,0.98,0.97,0.98,0.97,0.98,0.97,0.96,0.68,0.98
57019,0.93,0.96,0.98,0.95,0.98,0.98,0.97,0.56,0.91
57037,0.98,0.98,0.98,0.98,0.98,0.97,0.98,0.49,0.98
57834,0.91,0.91,0.91,0.92,0.93,0.89,0.91,0.42,0.93
58056,0.96,0.95,0.96,0.96,0.97,0.97,0.96,0.53,0.95
58339,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.53,0.99
59504,0.97,0.94,0.96,0.96,0.97,0.96,0.97,0.41,0.95
59984,0.96,0.97,0.97,0.97,0.96,0.96,0.97,0.5,0.97
60075,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.47,0.95
60768,0.96,0.95,0.93,0.97,0.97,0.96,0.95,0.97,0.96
60883,0.72,0.72,0.72,0.71,0.72,0.7,0.71,0.23,0.69
61030,0.97,0.98,0.98,0.98,0.98,0.97,0.98,0.59,0.98
61216,0.98,0.97,0.97,0.97,0.98,0.97,0.98,0.42,0.97
61486,0.9,0.96,0.95,0.96,0.95,0.95,0.93,0.6,0.97
61745,0.98,0.97,0.97,0.97,0.97,0.97,0.97,0.96,0.98
62319,0.98,0.99,0.98,0.98,0.98,0.98,0.98,0.5,0.98
63024,0.99,0.98,0.99,0.97,0.98,0.99,0.99,0.42,0.99
63174,0.94,0.93,0.94,0.95,0.96,0.85,0.94,0.45,0.97
63445,0.01,0.03,0.02,0.02,0.2,0.01,0.02,0.01,0.03
63535,0.97,0.97,0.96,0.97,0.97,0.96,0.97,0.37,0.97
63993,0.92,0.94,0.92,0.93,0.89,0.9,0.92,0.48,0.91
64031,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.55,0.97
64043,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.58,0.97
64862,0.99,0.98,0.98,0.99,0.97,0.98,0.97,0.59,0.99
65928,0.95,0.95,0.96,0.95,0.96,0.95,0.96,0.41,0.95
65978,0.96,0.94,0.96,0.97,0.86,0.97,0.97,0.91,0.97
66469,0.93,0.93,0.92,0.93,0.92,0.93,0.92,0.43,0.92
66594,0.92,0.9,0.61,0.91,0.91,0.9,0.88,0.91,0.91
67405,0.96,0.98,0.98,0.98,0.97,0.97,0.95,0.4,0.98
67462,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.5,0.97
67484,0.99,0.99,0.98,0.99,0.99,0.99,0.99,0.47,0.98
68278,0.02,0.01,0.15,0.02,0.02,0.01,0.01,0.01,0.01
68280,0.95,0.95,0.95,0.95,0.95,0.94,0.95,0.31,0.96
68325,0.94,0.98,0.97,0.98,0.97,0.96,0.97,0.46,0.96
68968,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.53,0.97
69120,0.98,0.98,0.98,0.98,0.56,0.98,0.98,0.98,0.98
69298,0.93,0.93,0.93,0.93,0.92,0.91,0.9,0.67,0.9
69315,0.96,0.98,0.97,0.97,0.97,0.94,0.97,0.55,0.98
69483,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.55,0.98
69741,0.94,0.98,0.85,0.98,0.72,0.98,0.98,0.97,0.98
70701,0.99,0.99,0.98,0.99,0.99,0.3,0.99,0.99,0.99
70891,0.97,0.96,0.98,0.96,0.94,0.35,0.98,0.98,0.98
71096,0.95,0.96,0.96,0.96,0.95,0.96,0.96,0.45,0.96
71377,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.58,0.99
71795,0.95,0.97,0.98,0.98,0.98,0.98,0.98,0.64,0.96
72230,0.95,0.95,0.95,0.95,0.91,0.95,0.95,0.47,0.95
72270,0.98,0.99,0.99,0.99,0.98,0.98,0.98,0.63,0.98
72372,0.94,0.93,0.94,0.94,0.94,0.92,0.93,0.41,0.92
72511,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.57,0.96
72734,0.98,0.98,0.98,0.98,0.98,0.98,0.97,0.48,0.97
73230,0.97,0.98,0.99,0.98,0.98,0.97,0.98,0.45,0.98
73295,0.98,0.94,0.98,0.98,0.97,0.97,0.97,0.5,0.97
73346,0.97,0.97,0.98,0.97,0.98,0.97,0.98,0.55,0.97
73514,0.96,0.97,0.96,0.97,0.96,0.96,0.97,0.48,0.97
73670,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.53,0.97
73937,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.59,0.98
74027,0.98,0.98,0.98,0.98,0.91,0.98,0.98,0.52,0.97
74223,0.97,0.98,0.99,0.97,0.98,0.97,0.98,0.49,0.98
74250,0.95,0.96,0.98,0.98,0.98,0.95,0.97,0.52,0.98
74313,0.98,0.98,0.99,0.98,0.99,0.98,0.99,0.4,0.98
74626,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.5,0.98
74826,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.55,0.98
74848,0.97,0.96,0.95,0.97,0.97,0.92,0.96,0.52,0.97
74992,0.95,0.95,0.95,0.96,0.93,0.91,0.94,0.4,0.97
75334,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.66,0.97
75561,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
76522,0.98,0.97,0.97,0.95,0.95,0.89,0.98,0.25,0.96
76866,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.37,0.98
76971,0.96,0.97,0.92,0.97,0.96,0.9,0.97,0.47,0.98
77189,0.95,0.95,0.95,0.96,0.96,0.93,0.95,0.4,0.95
77405,0.85,0.87,0.91,0.92,0.93,0.83,0.88,0.38,0.92
77805,0.94,0.94,0.92,0.95,0.95,0.94,0.95,0.55,0.95
77907,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.55,0.99
78092,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.6,0.99
78201,0.98,0.98,0.99,0.98,0.99,0.98,0.99,0.51,0.99
78481,0.98,0.97,0.98,0.98,0.97,0.95,0.97,0.48,0.98
79863,0.98,0.98,0.97,0.98,0.98,0.96,0.96,0.54,0.98
80454,0.96,0.96,0.96,0.96,0.97,0.96,0.96,0.48,0.96
80617,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.6,0.99
80705,0.92,0.92,0.91,0.92,0.91,0.9,0.91,0.53,0.91
80875,0.97,0.97,0.97,0.97,0.53,0.97,0.97,0.98,0.97
80916,0.93,0.94,0.92,0.93,0.92,0.92,0.92,0.74,0.92
81489,0.99,0.98,0.98,0.98,0.98,0.99,0.99,0.36,0.98
81865,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.77,0.98
81882,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.59,0.99
82089,0.98,0.98,0.98,0.98,0.97,0.98,0.99,0.49,0.95
82441,0.98,0.94,0.46,0.98,0.91,0.95,0.96,0.88,0.98
82446,0.97,0.96,0.96,0.97,0.97,0.96,0.96,0.66,0.97
82629,0.92,0.92,0.92,0.92,0.93,0.89,0.91,0.24,0.93
82784,0.93,0.95,0.97,0.96,0.94,0.96,0.97,0.49,0.97
83032,0.88,0.95,0.92,0.95,0.91,0.84,0.93,0.55,0.96
83195,0.97,0.97,0.97,0.97,0.96,0.97,0.98,0.57,0.97
83692,0.97,0.98,0.98,0.98,0.42,0.96,0.98,0.93,0.99
83941,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.44,0.01
83993,0.95,0.97,0.97,0.96,0.96,0.97,0.97,0.44,0.97
84034,0.93,0.96,0.95,0.95,0.95,0.92,0.94,0.49,0.95
85058,0.98,0.98,0.92,0.98,0.98,0.96,0.98,0.98,0.98
85286,0.81,0.86,0.83,0.85,0.87,0.84,0.84,0.45,0.83
85305,0.98,0.98,0.99,0.99,0.98,0.98,0.99,0.46,0.98
85457,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.59,0.98
85856,0.96,0.97,0.97,0.97,0.94,0.95,0.96,0.97,0.97
86159,0.98,0.98,0.99,0.99,0.99,0.98,0.98,0.48,0.98
86397,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.59,0.98
86613,0.92,0.96,0.97,0.97,0.95,0.94,0.95,0.55,0.97
86791,0.98,0.98,0.97,0.98,0.98,0.98,0.98,0.54,0.98
87455,0.94,0.95,0.94,0.95,0.93,0.9,0.94,0.44,0.95
87853,0.9,0.9,0.89,0.9,0.91,0.87,0.88,0.52,0.88
87860,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.56,0.99
88190,0.94,0.98,0.96,0.98,0.97,0.95,0.97,0.42,0.98
88946,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.67,0.98
89458,0.88,0.95,0.96,0.95,0.94,0.96,0.97,0.55,0.94
89788,0.96,0.97,0.94,0.98,0.95,0.89,0.96,0.5,0.98
91271,0.98,0.98,0.9,0.97,0.94,0.98,0.98,0.98,0.98
91457,0.98,0.99,0.98,0.99,0.99,0.98,0.98,0.55,0.99
91577,0.92,0.93,0.91,0.92,0.92,0.89,0.91,0.55,0.92
91657,0.97,0.97,0.98,0.98,0.98,0.98,0.98,0.55,0.98
91665,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.64,0.99
91946,0.91,0.93,0.91,0.92,0.92,0.89,0.92,0.49,0.92
92653,0.99,0.98,0.99,0.98,0.99,0.99,0.99,0.56,0.98
93057,0.95,0.95,0.95,0.95,0.95,0.94,0.93,0.32,0.96
93125,0.96,0.95,0.95,0.95,0.95,0.95,0.96,0.48,0.96
93853,0.98,0.97,0.98,0.97,0.98,0.98,0.98,0.5,0.98
93962,0.94,0.95,0.95,0.96,0.62,0.95,0.94,0.96,0.95
94590,0.94,0.96,0.98,0.98,0.93,0.91,0.98,0.4,0.9
94914,0.96,0.96,0.97,0.97,0.95,0.95,0.95,0.48,0.98
95454,0.92,0.92,0.91,0.91,0.91,0.92,0.91,0.42,0.9
95512,0.88,0.91,0.95,0.88,0.92,0.91,0.89,0.37,0.89
95831,0.97,0.97,0.97,0.96,0.97,0.96,0.97,0.47,0.97
95856,0.98,0.98,0.98,0.95,0.96,0.89,0.98,0.55,0.98
95908,0.92,0.92,0.91,0.92,0.91,0.89,0.9,0.5,0.92
96253,0.98,0.99,0.99,0.99,0.98,0.98,0.99,0.45,0.98
96611,0.99,0.98,0.99,0.98,0.86,0.98,0.98,0.98,0.98
96959,0.94,0.96,0.96,0.96,0.94,0.96,0.94,0.52,0.96
97192,0.89,0.96,0.95,0.95,0.95,0.9,0.96,0.52,0.97
97280,0.95,0.95,0.95,0.96,0.96,0.95,0.96,0.49,0.95
98196,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.48,0.99
99399,0.98,0.97,0.98,0.98,0.98,0.35,0.95,0.97,0.98
99534,0.97,0.98,0.98,0.98,0.98,0.97,0.98,0.72,0.97
99607,0.94,0.93,0.96,0.95,0.95,0.96,0.95,0.53,0.93
99733,0.97,0.97,0.97,0.96,0.97,0.97,0.98,0.35,0.97
99787,0.98,0.98,0.98,0.98,0.97,0.98,0.98,0.57,0.98
100152,0.97,0.97,0.97,0.97,0.97,0.97,0.98,0.66,0.97
100154,0.98,0.96,0.98,0.95,0.98,0.99,0.98,0.36,0.95
100415,0.97,0.97,0.97,0.97,0.98,0.97,0.97,0.46,0.97
100933,0.97,0.97,0.97,0.96,0.96,0.93,0.98,0.66,0.98
101309,0.95,0.95,0.84,0.95,0.46,0.92,0.93,0.89,0.94
101320,0.9,0.95,0.95,0.95,0.93,0.92,0.95,0.6,0.97
101377,0.96,0.96,0.98,0.97,0.95,0.95,0.97,0.54,0.98
101447,0.94,0.95,0.94,0.96,0.92,0.89,0.96,0.49,0.97
101551,0.96,0.95,0.95,0.97,0.96,0.28,0.97,0.98,0.98
101656,0.97,0.94,0.97,0.97,0.97,0.95,0.97,0.41,0.97
102414,0.99,0.9,0.99,0.98,0.99,0.98,0.99,0.59,0.99
102710,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.61,0.98
103532,0.97,0.97,0.97,0.97,0.96,0.97,0.97,0.49,0.97
104159,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.54,0.99
104729,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.43,0.96
104874,0.96,0.94,0.97,0.97,0.96,0.96,0.97,0.54,0.97
105748,0.97,0.98,0.98,0.96,0.96,0.97,0.97,0.5,0.98
105768,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.59,0.99
105986,0.99,0.99,0.98,0.98,0.99,0.98,0.98,0.49,0.98
105994,0.9,0.96,0.97,0.96,0.95,0.98,0.98,0.48,0.97
106403,0.97,0.96,0.98,0.97,0.97,0.95,0.97,0.72,0.97
106521,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.43,0.98
107080,0.99,0.99,0.98,0.99,0.99,0.99,0.99,0.99,0.98
107671,0.97,0.96,0.95,0.96,0.96,0.96,0.97,0.67,0.96
108855,0.98,0.99,0.99,0.98,0.98,0.98,0.99,0.69,0.99
109370,0.96,0.92,0.87,0.98,0.83,0.94,0.92,0.45,0.98
109609,0.96,0.95,0.95,0.95,0.95,0.95,0.95,0.49,0.94
109826,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.34,0.96
110540,0.98,0.98,0.97,0.98,0.88,0.97,0.98,0.57,0.99
110613,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.62,0.98
112044,0.99,0.99,0.99,0.99,0.98,0.98,0.98,0.52,0.99
112209,0.02,0.02,0.06,0.03,0.76,0.02,0.02,0.02,0.02
112474,0.97,0.97,0.97,0.97,0.98,0.97,0.97,0.54,0.97
112577,0.98,0.97,0.98,0.98,0.98,0.99,0.99,0.47,0.97
113131,0.94,0.96,0.95,0.95,0.95,0.94,0.95,0.42,0.95
113245,0.98,0.98,0.95,0.98,0.44,0.97,0.96,0.98,0.98
113442,0.93,0.91,0.93,0.92,0.94,0.93,0.92,0.39,0.88
113493,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.67,0.98
113597,0.96,0.99,0.98,0.98,0.95,0.97,0.95,0.4,0.99
113802,0.02,0.02,0.02,0.02,0.1,0.01,0.02,0.18,0.02
114222,0.95,0.94,0.94,0.94,0.94,0.94,0.94,0.37,0.87
114225,0.98,0.98,0.99,0.98,0.98,0.98,0.98,0.61,0.98
114273,0.99,0.98,0.98,0.9,0.98,0.98,0.98,0.95,0.98
114338,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.45,0.98
114626,0.97,0.98,0.98,0.98,0.98,0.98,0.98,0.63,0.97
114807,0.97,0.98,0.97,0.97,0.97,0.97,0.97,0.51,0.97
115037,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.58,0.98
115461,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.48,0.98
115572,0.99,0.98,0.97,0.99,0.99,0.99,0.98,0.64,0.98
116091,0.96,0.96,0.96,0.95,0.96,0.96,0.96,0.47,0.95
116169,0.97,0.98,0.98,0.98,0.97,0.97,0.98,0.34,0.97
116541,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.97,0.98
116615,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.53,0.98
116632,0.96,0.92,0.96,0.94,0.97,0.95,0.96,0.61,0.94
116703,0.01,0.02,0.04,0.02,0.01,0.01,0.02,0.52,0.02
117197,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.51,0.98
117639,0.99,0.99,0.99,0.99,0.99,0.98,0.99,0.42,0.98
117668,0.96,0.98,0.98,0.98,0.96,0.96,0.98,0.49,0.98
117676,0.96,0.96,0.94,0.96,0.96,0.63,0.95,0.96,0.95
117979,0.97,0.96,0.98,0.96,0.96,0.96,0.97,0.43,0.95
118450,0.97,0.96,0.98,0.98,0.98,0.81,0.98,0.47,0.98
119222,0.84,0.96,0.96,0.97,0.94,0.96,0.96,0.44,0.96
119329,0.02,0.02,0.01,0.01,0.03,0.02,0.02,0.46,0.01
119576,0.97,0.94,0.97,0.95,0.97,0.96,0.97,0.32,0.94
120122,0.84,0.89,0.82,0.82,0.84,0.81,0.85,0.43,0.79
121075,0.96,0.97,0.97,0.96,0.95,0.96,0.96,0.55,0.96
121487,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.6,0.99
121808,0.98,0.96,0.98,0.98,0.97,0.98,0.98,0.62,0.97
121904,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.52,0.98
122508,0.97,0.97,0.98,0.98,0.97,0.97,0.97,0.69,0.97
123344,0.91,0.9,0.9,0.9,0.91,0.9,0.9,0.9,0.9
123605,0.04,0.06,0.05,0.07,0.02,0.02,0.05,0.02,0.08
124191,0.96,0.96,0.96,0.96,0.96,0.95,0.96,0.32,0.96
124301,0.92,0.91,0.91,0.91,0.92,0.9,0.91,0.45,0.93
124313,0.95,0.95,0.95,0.95,0.95,0.94,0.95,0.7,0.95
124481,0.97,0.97,0.98,0.98,0.97,0.94,0.97,0.56,0.98
124739,0.94,0.97,0.98,0.98,0.96,0.93,0.97,0.5,0.99
124960,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.56,0.96
125133,0.98,0.98,0.98,0.98,0.98,0.97,0.98,0.54,0.98
125699,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.56,0.97
126036,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.63,0.98
126283,0.99,0.99,0.99,0.99,0.99,0.85,0.99,0.54,0.99
126324,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.54,0.99
126445,0.98,0.99,0.99,0.99,0.98,0.99,0.99,0.65,0.99
126456,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.52,0.97
126513,0.94,0.94,0.93,0.94,0.93,0.93,0.94,0.4,0.93
126925,0.9,0.91,0.91,0.91,0.9,0.9,0.91,0.25,0.9
126994,0.96,0.97,0.96,0.96,0.96,0.95,0.96,0.37,0.97
127200,0.76,0.97,0.79,0.98,0.96,0.96,0.96,0.97,0.98
127841,0.97,0.98,0.97,0.97,0.97,0.98,0.98,0.53,0.96
127865,0.96,0.97,0.97,0.96,0.96,0.96,0.96,0.55,0.96
128012,0.92,0.93,0.94,0.93,0.84,0.78,0.93,0.91,0.92
128123,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.56,0.97
128754,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.58,0.98
128812,0.98,0.98,0.98,0.98,0.98,0.97,0.98,0.54,0.98
129073,0.98,0.99,0.99,0.99,0.99,0.98,0.98,0.51,0.99
129249,0.93,0.98,0.99,0.98,0.99,0.98,0.99,0.99,0.99
129476,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.56,0.99
129514,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.47,0.98
129781,0.97,0.89,0.95,0.96,0.96,0.96,0.95,0.92,0.97
129981,0.99,0.99,0.98,0.99,0.99,0.99,0.99,0.59,0.99
130181,0.95,0.93,0.91,0.92,0.95,0.92,0.95,0.95,0.94
130715,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.3,0.96
130757,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.57,0.03
131294,0.94,0.95,0.95,0.95,0.94,0.93,0.96,0.58,0.97
131416,0.98,0.98,0.99,0.98,0.99,0.9,0.98,0.45,0.98
131842,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.57,0.99
131933,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.52,0.99
132098,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.58,0.99
132111,0.96,0.97,0.97,0.97,0.96,0.96,0.96,0.52,0.96
132165,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.55,0.99
132308,0.96,0.97,0.97,0.97,0.95,0.95,0.97,0.6,0.98
132413,0.96,0.97,0.96,0.96,0.97,0.97,0.97,0.53,0.97
132638,0.87,0.89,0.88,0.89,0.87,0.86,0.88,0.44,0.89
133138,0.96,0.96,0.97,0.97,0.97,0.97,0.97,0.57,0.97
